,name,solved,IK_total,IK_avg,plan_tries,wall_time
0,bookshelf_cage_0000,True,6,6.0,1,1.3509371390100569
1,bookshelf_cage_0001,True,14,14.0,1,1.7716725970094558
2,bookshelf_cage_0002,True,4,4.0,1,0.8093511739862151
3,bookshelf_cage_0003,True,10,5.0,2,7.020670247991802
4,bookshelf_cage_0004,True,1,1.0,1,0.14426206599455327
5,bookshelf_cage_0005,True,1,1.0,1,0.0948597959941253
6,bookshelf_cage_0006,True,10,10.0,1,1.3413263489783276
7,bookshelf_cage_0007,True,4,2.0,2,2.229656376002822
8,bookshelf_cage_0008,True,3,3.0,1,0.09138581602019258
9,bookshelf_cage_0009,True,1,0.5,2,5.064195063983789
10,bookshelf_cage_0010,True,6,6.0,1,0.23403301401413046
11,bookshelf_cage_0011,True,4,4.0,1,0.16125270098564215
12,bookshelf_cage_0012,True,6,6.0,1,1.3127393410250079
13,bookshelf_cage_0013,True,3,3.0,1,0.21012829500250518
14,bookshelf_cage_0014,True,6,6.0,1,0.25076037299004383
15,bookshelf_cage_0015,True,10,10.0,1,1.404278146015713
16,bookshelf_cage_0016,True,25,25.0,1,3.5536506549979094
17,bookshelf_cage_0017,True,2,2.0,1,0.18609860600554384
18,bookshelf_cage_0018,True,3,3.0,1,0.581550242000958
19,bookshelf_cage_0019,True,2,2.0,1,0.3033222569792997
20,bookshelf_cage_0020,True,3,3.0,1,0.19891790798283182
21,bookshelf_cage_0021,True,24,24.0,1,1.8595606979797594
22,bookshelf_cage_0022,True,20,20.0,1,2.5819438549806364
23,bookshelf_cage_0023,True,2,2.0,1,0.22926607000408694
24,bookshelf_cage_0024,True,1,1.0,1,0.34161980799399316
25,bookshelf_cage_0025,True,20,20.0,1,3.421705524000572
26,bookshelf_cage_0026,True,7,3.5,2,1.8672212040110026
27,bookshelf_cage_0027,True,1,1.0,1,0.39821723400382325
28,bookshelf_cage_0028,True,50,25.0,2,8.842079910973553
29,bookshelf_cage_0029,True,1,1.0,1,0.6939952649991028
30,bookshelf_cage_0030,True,19,19.0,1,0.9723890050081536
31,bookshelf_cage_0031,True,2,2.0,1,0.8608323480002582
32,bookshelf_cage_0032,True,2,0.25,8,17.121315978991333
33,bookshelf_cage_0033,True,3,3.0,1,0.6527235160174314
34,bookshelf_cage_0034,True,5,5.0,1,0.6608844680013135
35,bookshelf_cage_0035,True,7,7.0,1,1.1841324089909904
36,bookshelf_cage_0036,True,4,4.0,1,1.1275895310100168
37,bookshelf_cage_0037,True,4,4.0,1,0.11268925000331365
38,bookshelf_cage_0038,True,1,1.0,1,0.20262347999960184
39,bookshelf_cage_0039,True,1,1.0,1,0.1634570689930115
40,bookshelf_cage_0040,True,6,6.0,1,0.3480249439890031
41,bookshelf_cage_0041,True,2,2.0,1,0.2677970699733123
42,bookshelf_cage_0042,True,1,1.0,1,1.1940473449940328
43,bookshelf_cage_0043,True,3,3.0,1,0.8927044440060854
44,bookshelf_cage_0044,True,4,4.0,1,0.9306920990056824
45,bookshelf_cage_0045,True,4,4.0,1,0.22865127999102697
46,bookshelf_cage_0046,True,38,38.0,1,4.193827017006697
47,bookshelf_cage_0047,True,10,10.0,1,2.609441042004619
48,bookshelf_cage_0048,True,6,6.0,1,0.6927761719853152
49,bookshelf_cage_0049,True,11,11.0,1,1.850287206005305
50,bookshelf_cage_0050,True,2,2.0,1,0.16721215599682182
51,bookshelf_cage_0051,True,3,3.0,1,0.28676769699086435
52,bookshelf_cage_0052,True,1,1.0,1,0.38571430498268455
53,bookshelf_cage_0053,True,7,7.0,1,0.8463844189827796
54,bookshelf_cage_0054,True,2,0.6666666666666666,3,2.480871390987886
55,bookshelf_cage_0055,True,24,8.0,3,6.023151909990702
56,bookshelf_cage_0056,True,2,2.0,1,0.8395697149971966
57,bookshelf_cage_0057,True,4,4.0,1,0.5724624459980987
58,bookshelf_cage_0058,True,2,2.0,1,0.38570616001379676
59,bookshelf_cage_0059,True,1,1.0,1,0.6581924939819146
60,bookshelf_cage_0060,True,2,2.0,1,0.8138261180138215
61,bookshelf_cage_0061,True,5,5.0,1,0.8118368290015496
62,bookshelf_cage_0062,True,15,15.0,1,1.4909795080020558
63,bookshelf_cage_0063,True,2,2.0,1,0.7232220690057147
64,bookshelf_cage_0064,True,13,13.0,1,0.3983718169911299
65,bookshelf_cage_0065,True,8,8.0,1,0.6890658370102756
66,bookshelf_cage_0066,True,43,21.5,2,5.345476279995637
67,bookshelf_cage_0067,True,8,8.0,1,0.9475337889743969
68,bookshelf_cage_0068,True,10,5.0,2,4.21080477401847
69,bookshelf_cage_0069,True,6,6.0,1,0.7329540479986463
70,bookshelf_cage_0070,True,33,33.0,1,4.52582509900094
71,bookshelf_cage_0071,True,5,5.0,1,0.6949041819898412
72,bookshelf_cage_0072,True,2,2.0,1,0.0738840879930649
73,bookshelf_cage_0073,True,2,2.0,1,0.15762858698144555
74,bookshelf_cage_0074,True,5,5.0,1,0.9041137009917293
75,bookshelf_cage_0075,True,1,1.0,1,0.943933003989514
76,bookshelf_cage_0076,True,6,3.0,2,2.4269198729889467
77,bookshelf_cage_0077,True,15,15.0,1,2.3417946610134095
78,bookshelf_cage_0078,True,3,3.0,1,0.1879669720074162
79,bookshelf_cage_0079,True,25,25.0,1,3.7154027660144493
80,bookshelf_cage_0080,True,3,1.5,2,7.096955796005204
81,bookshelf_cage_0081,True,6,6.0,1,2.421525122015737
82,bookshelf_cage_0082,True,5,2.5,2,1.685251799004618
83,bookshelf_cage_0083,True,1,1.0,1,0.9091382149781566
84,bookshelf_cage_0084,True,9,9.0,1,0.26501296102651395
85,bookshelf_cage_0085,True,21,10.5,2,5.746339661011007
86,bookshelf_cage_0086,True,6,1.5,4,6.154899970977567
87,bookshelf_cage_0087,True,6,6.0,1,0.16274325698032044
88,bookshelf_cage_0088,True,5,2.5,2,3.2742229959985707
89,bookshelf_cage_0089,True,2,2.0,1,0.2799676489958074
90,bookshelf_cage_0090,True,3,3.0,1,0.5213583529985044
91,bookshelf_cage_0091,True,8,8.0,1,0.7114496199938003
92,bookshelf_cage_0092,True,2,2.0,1,0.1530963479890488
93,bookshelf_cage_0093,True,11,5.5,2,4.454840216989396
94,bookshelf_cage_0094,True,9,9.0,1,1.1451209459919482
95,bookshelf_cage_0095,True,4,4.0,1,0.7089205860102084
96,bookshelf_cage_0096,True,29,29.0,1,3.9846731919969898
97,bookshelf_cage_0097,True,6,6.0,1,1.6955528909747954
98,bookshelf_cage_0098,True,15,7.5,2,2.036710019019665
99,bookshelf_cage_0099,True,16,8.0,2,3.99037252299604
100,bookshelf_cage_0100,True,1,0.5,2,4.073562759993365
101,bookshelf_cage_0101,True,2,2.0,1,0.2857300920004491
102,bookshelf_cage_0102,True,10,10.0,1,1.70229571199161
103,bookshelf_cage_0103,True,2,2.0,1,0.7866588699980639
104,bookshelf_cage_0104,True,5,5.0,1,1.6367065620142967
105,bookshelf_cage_0105,True,7,3.5,2,3.8757666669844184
106,bookshelf_cage_0106,True,1,1.0,1,0.5267530819983222
107,bookshelf_cage_0107,True,7,7.0,1,1.1150125399872195
108,bookshelf_cage_0108,True,9,9.0,1,1.234990172990365
109,bookshelf_cage_0109,True,4,4.0,1,0.6429433310113382
110,bookshelf_cage_0110,True,21,10.5,2,2.5189999759895727
111,bookshelf_cage_0111,True,22,22.0,1,2.5171597259759437
112,bookshelf_cage_0112,True,5,5.0,1,0.23190333400270902
113,bookshelf_cage_0113,True,9,9.0,1,1.358690838998882
114,bookshelf_cage_0114,True,5,5.0,1,0.7659515410196036
115,bookshelf_cage_0115,True,5,5.0,1,0.5674789269978646
116,bookshelf_cage_0116,True,3,3.0,1,0.6666891479981132
117,bookshelf_cage_0117,True,16,16.0,1,3.2482759520062245
118,bookshelf_cage_0118,True,1,0.3333333333333333,3,3.4915145590202883
119,bookshelf_cage_0119,True,4,2.0,2,2.6031028050056193
120,bookshelf_cage_0120,True,21,21.0,1,2.165646048990311
121,bookshelf_cage_0121,True,6,6.0,1,0.9314167260017712
122,bookshelf_cage_0122,True,7,7.0,1,0.7366547959973104
123,bookshelf_cage_0123,True,1,1.0,1,0.5641956370091066
124,bookshelf_cage_0124,True,1,1.0,1,0.284766415017657
125,bookshelf_cage_0125,True,16,16.0,1,1.8387077849765774
126,bookshelf_cage_0126,True,1,0.5,2,3.926002060994506
127,bookshelf_cage_0127,True,7,7.0,1,0.7992024070117623
128,bookshelf_cage_0128,True,15,15.0,1,1.6107442580105271
129,bookshelf_cage_0129,True,7,7.0,1,0.24132495099911466
130,bookshelf_cage_0130,True,1,1.0,1,0.07686468100291677
131,bookshelf_cage_0131,True,10,10.0,1,2.1556994099810254
132,bookshelf_cage_0132,True,2,2.0,1,0.16526300500845537
133,bookshelf_cage_0133,True,5,5.0,1,0.7607864830060862
134,bookshelf_cage_0134,True,6,0.24,25,68.995064955001
135,bookshelf_cage_0135,True,24,24.0,1,4.426659665972693
136,bookshelf_cage_0136,True,20,20.0,1,2.520135297992965
137,bookshelf_cage_0137,True,22,22.0,1,1.991576044994872
138,bookshelf_cage_0138,True,9,9.0,1,1.329632948996732
139,bookshelf_cage_0139,True,2,2.0,1,1.1331025300023612
140,bookshelf_cage_0140,True,33,33.0,1,4.487893947021803
141,bookshelf_cage_0141,True,4,4.0,1,1.3034397090086713
142,bookshelf_cage_0142,True,1,1.0,1,0.4229358819720801
143,bookshelf_cage_0143,True,2,2.0,1,0.2047220389940776
144,bookshelf_cage_0144,True,7,7.0,1,0.42359462901367806
145,bookshelf_cage_0145,True,7,7.0,1,0.7999551460088696
146,bookshelf_cage_0146,True,3,3.0,1,2.236896621005144
147,bookshelf_cage_0147,True,1,1.0,1,0.36207309301244095
148,bookshelf_cage_0148,True,3,3.0,1,0.9917226189863868
149,bookshelf_cage_0149,True,1,1.0,1,0.1358857809973415
150,bookshelf_cage_0150,True,3,3.0,1,0.15254933101823553
151,bookshelf_cage_0151,True,4,4.0,1,0.21904893199098296
152,bookshelf_cage_0152,True,2,2.0,1,0.15677134998259135
153,bookshelf_cage_0153,True,2,2.0,1,0.6801589830138255
154,bookshelf_cage_0154,True,2,2.0,1,0.8200845239916816
155,bookshelf_cage_0155,True,3,3.0,1,0.7958679199800827
156,bookshelf_cage_0156,True,6,6.0,1,0.9264019389811438
157,bookshelf_cage_0157,True,17,4.25,4,7.247523607016774
158,bookshelf_cage_0158,True,24,24.0,1,5.6375816089857835
159,bookshelf_cage_0159,True,1,1.0,1,0.12882851200993173
160,bookshelf_cage_0160,True,16,16.0,1,2.9457224250072613
161,bookshelf_cage_0161,True,11,11.0,1,0.9337545089947525
162,bookshelf_cage_0162,True,3,3.0,1,0.6580455380026251
163,bookshelf_cage_0163,True,2,2.0,1,0.18503312199027278
164,bookshelf_cage_0164,True,4,4.0,1,0.5160982670204248
165,bookshelf_cage_0165,True,2,2.0,1,0.5721881199860945
166,bookshelf_cage_0166,True,6,6.0,1,2.0604582649830263
167,bookshelf_cage_0167,True,14,14.0,1,2.521198919013841
168,bookshelf_cage_0168,True,14,14.0,1,0.9443991919979453
169,bookshelf_cage_0169,True,18,18.0,1,1.4956612240057439
170,bookshelf_cage_0170,True,6,6.0,1,1.1155754149949644
171,bookshelf_cage_0171,True,5,5.0,1,0.7786797620065045
172,bookshelf_cage_0172,True,14,14.0,1,3.2793524769949727
173,bookshelf_cage_0173,True,1,1.0,1,0.3578247200057376
174,bookshelf_cage_0174,True,23,23.0,1,2.9313898530090228
175,bookshelf_cage_0175,True,9,9.0,1,1.1491551219951361
176,bookshelf_cage_0176,True,2,2.0,1,0.165699642006075
177,bookshelf_cage_0177,True,4,4.0,1,0.8613721369765699
178,bookshelf_cage_0178,True,29,29.0,1,3.125099231983768
179,bookshelf_cage_0179,True,16,16.0,1,2.2990689240104984
180,bookshelf_cage_0180,True,3,3.0,1,0.8081129869970027
181,bookshelf_cage_0181,True,5,5.0,1,0.20733146902057342
182,bookshelf_cage_0182,True,6,6.0,1,1.321933244005777
183,bookshelf_cage_0183,True,3,3.0,1,0.13328703999286518
184,bookshelf_cage_0184,True,3,3.0,1,0.6637288430065382
185,bookshelf_cage_0185,True,3,3.0,1,0.34606702500605024
186,bookshelf_cage_0186,True,21,10.5,2,11.75114259601105
187,bookshelf_cage_0187,True,1,1.0,1,0.16898680600570515
188,bookshelf_cage_0188,True,2,2.0,1,0.4532150989980437
189,bookshelf_cage_0189,True,5,5.0,1,0.739374269003747
190,bookshelf_cage_0190,True,3,3.0,1,0.11367921301280148
191,bookshelf_cage_0191,True,7,7.0,1,1.5032254190009553
192,bookshelf_cage_0192,True,3,3.0,1,0.628326592996018
193,bookshelf_cage_0193,True,3,3.0,1,0.17549249599687755
194,bookshelf_cage_0194,True,3,3.0,1,0.18739024698152207
195,bookshelf_cage_0195,True,3,3.0,1,1.4166639860195573
196,bookshelf_cage_0196,True,14,14.0,1,3.516429718991276
197,bookshelf_cage_0197,True,2,0.6666666666666666,3,3.5095281379763037
198,bookshelf_cage_0198,True,9,9.0,1,0.6696391809964553
199,bookshelf_cage_0199,True,4,4.0,1,0.8661037529818714
200,bookshelf_cage_0200,True,3,3.0,1,0.3050457389908843
201,bookshelf_cage_0201,True,14,14.0,1,1.4361483170068823
202,bookshelf_cage_0202,True,14,14.0,1,2.3662265540042426
203,bookshelf_cage_0203,True,5,5.0,1,0.445376674993895
204,bookshelf_cage_0204,True,4,4.0,1,0.15078381600324064
205,bookshelf_cage_0205,True,5,5.0,1,1.4812513100041542
206,bookshelf_cage_0206,True,12,12.0,1,0.8187148659781087
207,bookshelf_cage_0207,True,5,5.0,1,0.6418692849983927
208,bookshelf_cage_0208,True,1,1.0,1,0.19310178700834513
209,bookshelf_cage_0209,True,7,7.0,1,0.19929587497608736
210,bookshelf_cage_0210,True,2,2.0,1,0.6610537640226539
211,bookshelf_cage_0211,True,1,1.0,1,0.14128136000363156
212,bookshelf_cage_0212,True,16,8.0,2,3.471739781991346
213,bookshelf_cage_0213,True,4,4.0,1,1.1346666410099715
214,bookshelf_cage_0214,True,6,3.0,2,2.328719726006966
215,bookshelf_cage_0215,True,13,13.0,1,1.1852886879933067
216,bookshelf_cage_0216,True,12,12.0,1,2.072408109001117
217,bookshelf_cage_0217,True,1,1.0,1,0.23660784799722023
218,bookshelf_cage_0218,True,5,5.0,1,0.3341223879833706
219,bookshelf_cage_0219,True,9,9.0,1,0.6939722249808256
220,bookshelf_cage_0220,True,2,2.0,1,0.1959504400147125
221,bookshelf_cage_0221,True,9,9.0,1,0.9397279320110101
222,bookshelf_cage_0222,True,2,2.0,1,0.24621988899889402
223,bookshelf_cage_0223,True,61,15.25,4,13.204838259989629
224,bookshelf_cage_0224,True,45,11.25,4,23.965078270004597
225,bookshelf_cage_0225,True,5,5.0,1,0.7098156700085383
226,bookshelf_cage_0226,True,13,13.0,1,2.34121653001057
227,bookshelf_cage_0227,True,6,6.0,1,0.12602188001619652
228,bookshelf_cage_0228,True,15,15.0,1,0.8719543199986219
229,bookshelf_cage_0229,True,2,2.0,1,0.2504258029803168
230,bookshelf_cage_0230,True,17,17.0,1,2.387438599980669
231,bookshelf_cage_0231,True,18,18.0,1,1.9090284639969468
232,bookshelf_cage_0232,True,1,1.0,1,1.5333275629964191
233,bookshelf_cage_0233,True,20,20.0,1,3.799992176995147
234,bookshelf_cage_0234,True,2,2.0,1,0.1380121539987158
235,bookshelf_cage_0235,True,3,3.0,1,0.09967276197858155
236,bookshelf_cage_0236,True,15,15.0,1,2.313994038995588
237,bookshelf_cage_0237,True,46,46.0,1,3.6843909040035214
238,bookshelf_cage_0238,True,27,27.0,1,3.71665378799662
239,bookshelf_cage_0239,True,7,7.0,1,1.2753764819935896
240,bookshelf_cage_0240,True,6,6.0,1,1.1695879959734157
241,bookshelf_cage_0241,True,1,0.5,2,1.9041791509953327
242,bookshelf_cage_0242,True,15,15.0,1,1.9582124869921245
243,bookshelf_cage_0243,True,1,1.0,1,0.2641595220193267
244,bookshelf_cage_0244,True,1,1.0,1,0.12282539400621317
245,bookshelf_cage_0245,True,1,1.0,1,0.6200735729944427
246,bookshelf_cage_0246,True,1,1.0,1,0.3900903569883667
247,bookshelf_cage_0247,True,10,10.0,1,1.373517111002002
248,bookshelf_cage_0248,True,2,2.0,1,1.659176221000962
249,bookshelf_cage_0249,True,4,4.0,1,0.18224919799831696
